temperature_C,corrected_viscosity_cp
25.0,35.0
27.627118644067796,32.04872369728114
30.25423728813559,29.391108007996436
32.88135593220339,26.99396257770078
35.50847457627118,24.82826120668483
38.13559322033898,22.868570950767563
40.76271186440678,21.092565767934563
43.389830508474574,19.480611305914472
46.016949152542374,18.015409685224636
48.64406779661017,16.681694989130907
51.271186440677965,15.465971701783648
53.898305084745765,14.35628959914396
56.525423728813564,13.342049643038202
59.152542372881356,12.413836296250048
61.779661016949156,11.563272397929817
64.40677966101694,10.782893339725028
67.03389830508475,10.066037785029343
69.66101694915255,9.406752593836096
72.28813559322035,8.799709967955696
74.91525423728814,8.240135127353078
77.54237288135593,7.7237430775656755
80.16949152542372,7.24668323837476
82.79661016949153,6.805490881562222
85.42372881355932,6.3970444760109535
88.05084745762713,6.018528166004588
90.67796610169492,5.667398717013026
93.30508474576271,5.341356355550522
95.9322033898305,5.038319008401169
98.55932203389831,4.756399513734998
101.1864406779661,4.493885434157421
103.8135593220339,4.249221151026786
106.4406779661017,4.020991961683557
109.0677966101695,3.807909937607085
111.69491525423729,3.6088013328319155
114.3220338983051,3.4225953589597773
116.94915254237289,3.2483141664234716
119.57627118644068,3.0850638918269246
122.20338983050848,2.9320266486527466
124.83050847457628,2.788453353777636
127.45762711864407,2.653657295392754
130.08474576271186,2.5270083593683292
132.71186440677968,2.4079278410657996
135.33898305084745,2.295883778289272
137.96610169491527,2.1903867486539137
140.59322033898306,2.090986081280663
143.22033898305085,1.997266438531073
145.84745762711864,1.9088447285832775
148.47457627118644,1.8253673141135693
151.10169491525426,1.7465074862690753
153.72881355932205,1.671963176565605
156.35593220338984,1.601454882381263
158.98305084745763,1.5347237843930657
161.61016949152543,1.4715300366659223
164.23728813559322,1.4116512121902147
166.864406779661,1.35488088850975
169.49152542372883,1.3010273597159303
172.11864406779662,1.249912462532062
174.74576271186442,1.2013705054965886
177.3728813559322,1.1552472913949796
180.0,1.111399224104321
