depth_m,temperature_C,viscosity_cp,segment_pressure_loss_pa,cumulative_pressure_loss_pa
0.0,25.0,35.0,0.0,0.0
61.224489795918366,27.551020408163264,32.12991044121606,16029.677404429904,16029.677404429904
122.44897959183673,30.10204081632653,29.53766471715607,14736.40076160457,30766.078166034473
183.6734693877551,32.6530612244898,27.192699487818206,13566.492858510266,44332.57102454474
244.89795918367346,35.20408163265306,25.06818478614371,12506.568170232116,56839.13919477686
306.1224489795918,37.755102040816325,23.14052552170382,11544.855058358818,68383.99425313568
367.3469387755102,40.30612244897959,21.38893490572691,10670.982951864591,79054.97720500026
428.57142857142856,42.85714285714286,19.795068684725653,9875.79986552478,88930.77707052504
489.7959183673469,45.40816326530612,18.3427108958688,9151.21562263433,98081.99269315938
551.0204081632653,47.95918367346938,17.017503365950358,8490.066901495535,106572.05959465491
612.2448979591836,50.51020408163265,15.806712425311797,7886.000848521252,114458.06044317616
673.469387755102,53.06122448979592,14.699027345239816,7333.374518244388,121791.43496142054
734.6938775510204,55.61224489795919,13.684385870175621,6827.1678309835825,128618.60279240413
795.9183673469388,58.16326530612245,12.753822935397812,6362.908097788919,134981.51089019305
857.1428571428571,60.714285714285715,11.89933926180892,5936.604462114543,140918.1153523076
918.3673469387755,63.265306122448976,11.1137870225836,5544.690858678041,146462.80621098564
979.5918367346939,65.81632653061224,10.390770198510525,5183.976300538471,151646.7825115241
1040.8163265306123,68.36734693877551,9.724557593641531,4851.601482427699,156498.3839939518
1102.0408163265306,70.91836734693877,9.110006781662381,4545.00083744054,161043.38483139235
1163.265306122449,73.46938775510205,8.542497505535012,4261.869309981513,165305.25414137385
1224.4897959183672,76.0204081632653,8.017873266117673,4000.133214209001,169305.38735558285
1285.7142857142858,78.57142857142857,7.532390016004965,3757.9246372881785,173063.31199287102
1346.938775510204,81.12244897959184,7.082671028012239,3533.558923186373,176596.8709160574
1408.1632653061224,83.67346938775509,6.665667137933534,3325.514837704602,179922.385753762
1469.3877551020407,86.22448979591837,6.278621672066389,3132.4170707485237,183054.80282451052
1530.612244897959,88.77551020408163,5.91903946455596,2953.0207790187173,186007.82360352925
1591.8367346938776,91.3265306122449,5.584659450396451,2786.19791260358,188794.02151613284
1653.061224489796,93.87755102040816,5.273430389060396,2630.9251034487474,191424.94661958158
1714.2857142857142,96.42857142857143,4.983489332981051,2486.2729232394427,193911.21954282103
1775.5102040816325,98.9795918367347,4.713142505982849,2351.3963436105955,196262.61588643162
1836.734693877551,101.53061224489795,4.460848300493028,2225.5262534213416,198488.14213985298
1897.9591836734694,104.08163265306122,4.225202140031705,2107.9619066206037,200596.10404647357
1959.1836734693877,106.63265306122449,4.00492298595997,1998.064190436463,202594.16823691005
2020.408163265306,109.18367346938776,3.7988412955197637,1895.2496176177822,204489.41785452783
2081.6326530612246,111.73469387755102,3.6058882624646027,1798.9849585631257,206288.40281309094
2142.8571428571427,114.28571428571428,3.4250861925977722,1708.7824396572182,207997.18525274817
2204.081632653061,116.83673469387755,3.255539884764522,1624.195443230598,209621.38069597876
2265.3061224489797,119.38775510204081,3.096428903678773,1544.814652457053,211166.1953484358
2326.530612244898,121.93877551020408,2.9470006447359287,1470.2645913748063,212636.45993981062
2387.7551020408164,124.48979591836735,2.806564102956601,1400.200516199911,214036.66045601052
2448.9795918367345,127.0408163265306,2.6744842686642722,1334.3056193183752,215370.9660753289
2510.204081632653,129.59183673469386,2.550177081631343,1272.2885118995641,216643.25458722847
2571.4285714285716,132.14285714285714,2.4331048834110764,1213.8809550552405,217857.1355422837
2632.6530612244896,134.69387755102042,2.322772314560703,1158.8358129559624,219015.97135523966
2693.877551020408,137.24489795918367,2.2187226095848853,1106.9252043708652,220122.89655961053
2755.1020408163263,139.79591836734693,2.120534247802109,1057.9388317780372,221180.83539138857
2816.326530612245,142.34693877551018,2.027817923056999,1011.6824695479787,222192.51786093655
2877.5510204081634,144.89795918367346,1.9402137993530257,967.9765947730809,223160.49445570965
2938.7755102040815,147.44897959183675,1.857389023135571,926.6551461406872,224087.14960185034
3000.0,150.0,1.7790354661774201,887.5643978540876,224974.71399970443
