Depth,ECD_Bingham,ECD_HB
1.0,10.838835358056556,11.040455219773369
26.201680672268907,10.837312534857395,11.039145800428255
51.403361344537814,10.835793367736258,11.037849276704149
76.60504201680672,10.834277829155582,11.03656547443202
101.80672268907563,10.832765891785215,11.035294222389746
127.00840336134453,10.831257528500858,11.034035352242636
152.21008403361344,10.829752712382511,11.032788698485357
177.41176470588235,10.828251416712936,11.031554098385204
202.61344537815125,10.82675361497613,11.030331391926687
227.81512605042016,10.825259280855805,11.029120421757396
253.01680672268907,10.823768388233892,11.027921033135113
278.21848739495795,10.822280911189038,11.026733073876146
303.4201680672269,10.820796823995133,11.025556394304832
328.6218487394958,10.819316101119835,11.024390847204213
353.8235294117647,10.81783871722311,11.023236287767807
379.0252100840336,10.816364647155789,11.022092573552504
404.2268907563025,10.814893865958123,11.020959564432504
429.42857142857144,10.813426348858359,11.019837122554302
454.6302521008403,10.811962071271328,11.018725112292683
479.8319327731092,10.810501008797035,11.01762340020771
505.03361344537814,10.809043137219264,11.016531855002661
530.2352941176471,10.807588432504199,11.015450347482915
555.4369747899159,10.806136870799042,11.01437875051574
580.6386554621848,10.804688428430657,11.013316938990979
605.8403361344538,10.803243081904215,11.012264789782607
631.0420168067227,10.801800807901847,11.011222181711119
656.2436974789916,10.800361583281317,11.010188995506756
681.4453781512605,10.798925385074693,11.009165113773538
706.6470588235294,10.797492190487041,11.008150420954069
731.8487394957983,10.796061976895114,11.007144803295114
757.0504201680671,10.79463472184607,11.006148148813935
782.2521008403361,10.793210403056172,11.005160347265322
807.453781512605,10.791788998409531,11.004181290109372
832.655462184874,10.790370485956837,11.003210870479935
857.8571428571429,10.788954843914095,11.00224898315375
883.0588235294117,10.787542050661388,11.00129552452023
908.2605042016806,10.786132084741647,11.000350392551903
933.4621848739496,10.78472492485941,10.999413486775463
958.6638655462184,10.783320549879615,10.998484708243458
983.8655462184873,10.781918938826392,10.997563959506552
1009.0672268907563,10.780520070881856,10.996651144586389
1034.268907563025,10.779123925384926,10.99574616894902
1059.4705882352941,10.77773048183014,10.994848939478882
1084.672268907563,10.77633971986648,10.993959364453325
1109.8739495798318,10.774951619296212,10.993077353517677
1135.0756302521008,10.773566160073738,10.992202817660809
1160.2773109243697,10.772183322304434,10.99133566919122
1185.4789915966387,10.770803086243529,10.99047582171361
1210.6806722689075,10.769425432294966,10.989623190105938
1235.8823529411764,10.768050341010287,10.98877769049695
1261.0840336134454,10.766677793087519,10.98793924024416
1286.2857142857142,10.765307769370072,10.987107757912296
1311.4873949579833,10.763940250845641,10.986283163252173
1336.689075630252,10.762575218645127,10.985465377179986
1361.890756302521,10.761212654041547,10.98465432175705
1387.09243697479,10.759852538448971,10.983849920169925
1412.2941176470588,10.758494853421462,10.983052096710946
1437.4957983193276,10.757139580652014,10.982260776759146
1462.6974789915967,10.755786701971509,10.981475886761567
1487.8991596638655,10.754436199347682,10.980697354214938
1513.1008403361343,10.753088054884083,10.979925107647706
1538.3025210084033,10.75174225081906,10.97915907660245
1563.5042016806722,10.750398769524743,10.978399191618623
1588.7058823529412,10.749057593506032,10.97764538421564
1613.90756302521,10.7477187053996,10.976897586876298
1639.1092436974789,10.746382087972908,10.97615573303053
1664.310924369748,10.7450477241232,10.975419757039463
1689.5126050420167,10.743715596876546,10.974689594179797
1714.7142857142858,10.742385689386865,10.973965180628488
1739.9159663865546,10.741057984934955,10.973246453447725
1765.1176470588234,10.739732466927544,10.9725333505702
1790.3193277310925,10.738409118896344,10.971825810784665
1815.5210084033613,10.737087924497105,10.971123773721757
1840.7226890756301,10.735768867508678,10.970427179840113
1865.9243697478992,10.734451931832098,10.969735970412732
1891.126050420168,10.73313710148965,10.969050087513613
1916.3277310924368,10.731824360623968,10.968369474004644
1941.5294117647059,10.730513693497123,10.96769407352273
1966.7310924369747,10.729205084489724,10.967023830467177
1991.9327731092437,10.727898518100023,10.966358689987317
2017.1344537815125,10.726593978943034,10.965698597970347
2042.3361344537814,10.72529145174965,10.965043501029427
2067.53781512605,10.723990921365768,10.964393346491969
2092.7394957983192,10.72269237275143,10.963748082388175
2117.9411764705883,10.721395790979956,10.96310765743976
2143.142857142857,10.720101161237094,10.962472021048915
2168.344537815126,10.718808468820173,10.961841123287451
2193.546218487395,10.717517699137264,10.961214914886153
2218.7478991596636,10.716228837706343,10.960593347224334
2243.9495798319326,10.714941870154464,10.95997637231958
2269.1512605042017,10.713656782216937,10.959363942817681
2294.3529411764707,10.71237355973652,10.95875601198274
2319.5546218487393,10.711092188662592,10.95815253368748
2344.7563025210084,10.709812655050372,10.95755346240372
2369.9579831932774,10.708534945060109,10.95695875319301
2395.159663865546,10.707259044956285,10.956368361697464
2420.361344537815,10.705984941106845,10.955782244130733
2445.563025210084,10.704712619982411,10.955200357269156
2470.7647058823527,10.703442068155505,10.954622658443068
2495.9663865546217,10.702173272299788,10.954049105528256
2521.168067226891,10.70090621918929,10.953479656937585
2546.3697478991594,10.699640895697664,10.952914271612752
2571.5714285714284,10.698377288797428,10.952352909016206
2596.7731092436975,10.697115385559222,10.951795529123201
2621.9747899159665,10.695855173151072,10.951242092413995
2647.176470588235,10.694596638837655,10.950692559866184
2672.378151260504,10.693339769979568,10.950146892947172
2697.5798319327732,10.69208455403261,10.94960505360678
2722.781512605042,10.69083097854706,10.949067004269969
2747.983193277311,10.689579031166971,10.948532707829711
2773.18487394958,10.68832869962946,10.948002127639967
2798.3865546218485,10.687079971764009,10.9474752275088
2823.5882352941176,10.685832835491764,10.946951971691602
2848.7899159663866,10.684587278824857,10.946432324884437
2873.991596638655,10.683343289865704,10.945916252217504
2899.1932773109243,10.68210085680634,10.945403719248707
2924.3949579831933,10.68085996792773,10.944894691957348
2949.596638655462,10.679620611599118,10.944389136737907
2974.798319327731,10.67838277627734,10.943887020393955
3000.0,10.677146450506182,10.943388310132148
