Q_0.02,Q_0.025,Q_0.03,Q_0.035,Depth
10.014521055530519,10.014521055530519,10.014521055530519,10.014521055530519,0.0
10.300390540325635,10.301985634787462,10.303451202262773,10.449965190621924,61.224489795918366
10.300322805305438,10.301908540700005,10.303365509095507,10.449824629054328,122.44897959183673
10.300256128217288,10.301832650720929,10.303281154342956,10.449686262873792,183.6734693877551
10.300190483672836,10.301757935953939,10.303198105885727,10.449550039395223,244.89795918367346
10.300125847094595,10.301684368425628,10.303116332630257,10.449415907616192,306.1224489795918
10.300062194683884,10.301611921049012,10.30303580446828,10.449283818150437,367.3469387755102
10.299999503390293,10.301540567588763,10.302956492238177,10.449153723164473,428.57142857142856
10.299937750882549,10.30147028262806,10.302878367688132,10.449025576317151,489.7959183673469
10.299876915520736,10.301401041536959,10.302801403440975,10.448899332702004,551.0204081632653
10.299816976329785,10.301332820442228,10.302725572960655,10.448774948792234,612.2448979591836
10.299757912974167,10.301265596198546,10.302650850520218,10.448652382388195,673.469387755102
10.299699705733731,10.30119934636099,10.302577211171233,10.448531592567251,734.6938775510204
10.29964233548062,10.301134049158774,10.3025046307146,10.448412539635886,795.9183673469388
10.29958578365722,10.301069683470146,10.302433085672643,10.44829518508392,857.1428571428571
10.299530032255078,10.301006228798395,10.302362553262448,10.448179491540786,918.3673469387755
10.299475063794745,10.300943665248905,10.302293011370352,10.448065422733688,979.5918367346939
10.299420861306505,10.300881973507222,10.302224438527569,10.447952943447605,1040.8163265306123
10.299367408311923,10.30082113481806,10.30215681388684,10.447842019487013,1102.0408163265306
10.2993146888062,10.300761130965205,10.302090117200118,10.447732617639257,1163.265306122449
10.299262687241269,10.300701944252289,10.30202432879718,10.447624705639484,1224.4897959183672
10.299211388509617,10.300643557484365,10.301959429565155,10.44751825213706,1285.7142857142858
10.299160777928781,10.300585953950272,10.301895400928913,10.447413226663404,1346.938775510204
10.299110841226495,10.300529117405716,10.301832224832276,10.447309599601164,1408.1632653061224
10.299061564526458,10.30047303205708,10.301769883720004,10.447207342154671,1469.3877551020407
10.29901293433467,10.300417682545884,10.301708360520529,10.447106426321618,1530.612244897959
10.298964937526359,10.300363053933879,10.301647638629388,10.447006824865886,1591.8367346938776
10.298917561333417,10.30030913168876,10.301587701893348,10.446908511291499,1653.061224489796
10.298870793332343,10.300255901670454,10.301528534595146,10.446811459817607,1714.2857142857142
10.298824621432688,10.300203350117952,10.301470121438872,10.446715645354491,1775.5102040816325
10.298779033865946,10.30015146363667,10.301412447535906,10.446621043480517,1836.734693877551
10.298734019174887,10.300100229186318,10.301355498391443,10.446527630420011,1897.9591836734694
10.29868956620332,10.30004963406923,10.301299259891524,10.446435383021996,1959.1836734693877
10.298645664086248,10.299999665919175,10.30124371829058,10.44634427873977,2020.408163265306
10.298602302240404,10.299950312690578,10.301188860199478,10.446254295611283,2081.6326530612246
10.298559470355169,10.29990156264818,10.301134672574005,10.446165412240253,2142.8571428571427
10.29851715838381,10.29985340435708,10.301081142703806,10.446077607778028,2204.081632653061
10.298475356535087,10.299805826673158,10.301028258201754,10.445990861906132,2265.3061224489797
10.298434055265153,10.299758818733878,10.3009760069937,10.445905154819474,2326.530612244898
10.298393245269763,10.299712369949415,10.300924377308629,10.445820467210188,2387.7551020408164
10.298352917476793,10.299666469994131,10.30087335766918,10.445736780252082,2448.9795918367345
10.298313063039014,10.299621108798359,10.300822936882518,10.445654075585669,2510.204081632653
10.298273673327147,10.299576276540497,10.300773104031538,10.44557233530374,2571.4285714285716
10.298234739923172,10.299531963639396,10.300723848466406,10.445491541937493,2632.6530612244896
10.29819625461388,10.29948816074701,10.300675159796397,10.445411678443133,2693.877551020408
10.298158209384662,10.299444858741337,10.300627027882038,10.445332728188996,2755.1020408163263
10.298120596413513,10.299402048719596,10.300579442827534,10.445254674943111,2816.326530612245
10.298083408065274,10.29935972199166,10.300532394973457,10.445177502861231,2877.5510204081634
10.298046636886049,10.299317870073718,10.300485874889715,10.445101196475271,2938.7755102040815
10.298010275597848,10.299276484682165,10.300439873368747,10.445025740682173,3000.0
